花き-開花前進	原因	気温上昇
花き-開花遅延	原因	気温上昇
花き-生育不良	原因	気温上昇
花き-高温障害	原因	気温上昇
花き-出荷時期変化	原因	花き-開花前進
花き-出荷時期変化	原因	花き-開花遅延
花き-収量低下	原因	花き-生育不良
花き-品質低下	原因	花き-生育不良
花き-収量低下	原因	花き-高温障害
花き-品質低下	原因	花き-高温障害
害虫被害-増大	原因	害虫-発生世代数増加
花き-品質低下	原因	花-奇形
花き-品質低下	原因	花-発色不良
花き-適時出荷困難	原因	花き-開花前進
花き-適時出荷困難	原因	花き-開花遅延
オオタバコガ-発生地域拡大	原因	温暖化
花き生産-継続	対策法	高温対策-生産技術導入
花き生産-継続	対策法	高温栽培適性品種-導入
花き生産-継続	対策法	品種-開発
花き生産-継続	対策法	病害虫対策
日中気温上昇	対策法	施設-十分な換気
花き-高温	対策法	遮光
園芸施設-室温上昇	対策法	ドライミスト-散水
花き-高温障害	対策法	ヒートポンプ-夜間冷房
花き-乾燥	対策法	十分なかん水
キク-計画出荷困難	原因	開花期-変動拡大
開花期-変動拡大	原因	気候変動
キク-計画出荷	対策法	露地電照栽培-電照処理
リンドウ-需要期出荷	対策法	耐暑性品種-導入
花き-適応	対策法	新品種-育成
病害虫被害	対策法	発生予察情報-確認
病害虫被害	対策法	ほ場観察
病害虫被害	対策法	薬剤散布
病害虫被害	対策法	IPM-導入
オオタバコガ被害	対策法	防虫ネット
オオタバコガ被害	対策法	夜間連続点灯
気温上昇	影響	花き-開花前進
気温上昇	影響	花き-開花遅延
気温上昇	影響	花き-生育不良
気温上昇	影響	花き-高温障害
気温上昇	影響	害虫-発生世代数増加
花き-開花前進	影響	花き-出荷時期変化
花き-開花遅延	影響	花き-出荷時期変化
花き-生育不良	影響	花き-収量低下
花き-生育不良	影響	花き-品質低下
花き-高温障害	影響	花き-収量低下
花き-高温障害	影響	花き-品質低下
害虫-発生世代数増加	影響	害虫被害-増大
温暖化	影響	オオタバコガ-発生地域拡大
開花期-変動拡大	影響	キク-計画出荷困難
気候変動	影響	開花期-変動拡大
花き-出荷時期変化	影響	花き-適時出荷困難
花き-品質低下	構成要因	花-奇形
花き-品質低下	構成要因	花-発色不良
害虫被害-増大	影響	病害虫対策-必要性増大
施設-十分な換気	内容	天窓換気
遮光	方法	寒冷紗-展張
遮光	方法	石灰乳-ガラス面塗布
夜間連続点灯	目的	オオタバコガ-活動抑制
