スギ-乾燥ストレス増大	原因	気温上昇
スギ-乾燥ストレス増大	原因	地域的な降水量減少
スギ-生理機能への影響	原因	スギ-乾燥ストレス増大
スギ-成長への影響	原因	スギ-乾燥ストレス増大
スギ-枯損	原因	夏季少雨
スギ-衰退	原因	夏季少雨
スギ-枯損	原因	土壌保水力低下
スギ-衰退	原因	土壌保水力低下
スギ人工林-純一次生産量増加	予測影響	将来気温2.5℃上昇
スギ人工林-純一次生産量低下	予測影響	西日本一部地域
施業方法見直し	対策法	造林適地選定
施業方法見直し	対策法	伐期変更
苗木選定	対策法	適切な苗木選定
スギ-新品種導入	対策法	高温耐性品種開発
スギ-新品種導入	対策法	乾燥ストレス耐性品種開発
造林適地選定	対策法	森林最適配置-ゾーニング
伐期変更	対策法	成長促進立地-短伐期化
伐期変更	対策法	成長低下立地-長伐期化
伐期変更	対策法	気象害リスク回避-短伐期化
苗木選定	対策法	スギ系統-適切な選択
コンテナ苗利用	対策法	コンテナ苗
育種技術開発	対策法	新たな系統評価手法開発
スギ人工林-純一次生産量への影響評価	対策法	高解像度全国地図作成
成長低下立地-出現	予測影響	西日本中心地域
スギ人工林-純一次生産量減少	予測影響	成長低下立地
樹種転換	対策法	スギ以外の樹種-植栽
品種転換	対策法	スギ系統-適切な選択
成長促進立地-短伐期化	対策法	伐期短縮
短伐期化	影響	気象害リスク低下
成長低下立地-長伐期化	対策法	主伐時収穫量確保
スギ系統苗木-植栽	対策法	将来環境変化への適応
土壌乾燥	原因	無降水期間増加
スギ-成長低下	原因	土壌乾燥
スギ-枯死	原因	土壌乾燥
スギ幼齢木-乾燥ストレス脆弱性	影響	植栽直後
植栽後乾燥害回避	対策法	コンテナ苗利用
植栽後乾燥害回避	対策法	乾燥リスク低時期-植栽
植栽後乾燥害回避	対策法	苗木根部乾燥防止-運搬
植栽後乾燥害回避	対策法	深植え
スギ-品種改良推進	対策法	育種技術開発
スギ-品種改良推進	対策法	育種素材作出
新たな評価手法開発	対策法	赤外線サーモカメラ-蒸散量評価
新たな評価手法開発	対策法	乾燥ストレス耐性-早期判定マーカー
育種素材作出	対策法	花粉発生源対策スギ品種-開発
気温上昇	影響	気候変動
地域的な降水量減少	影響	乾燥
夏季少雨	発生地域	西日本
土壌保水力低下	影響	スギ人工林-乾燥害
将来気温2.5℃上昇	原因	気候変動
西日本一部地域	包含	四国地方
西日本一部地域	包含	九州地方
造林適地選定	手法	ゾーニング
伐期変更	実施内容	伐期短縮
伐期変更	実施内容	伐期延長
適切な苗木選定	対象	地域の環境変化
高温耐性品種開発	目的	スギ-品種改良推進
乾燥ストレス耐性品種開発	目的	スギ-品種改良推進
森林最適配置-ゾーニング	目的	造林適地選定
成長促進立地-短伐期化	目的	気象害リスク低下
成長低下立地-長伐期化	目的	主伐時収穫量確保
コンテナ苗	特性	植栽直後乾燥ストレス耐性
赤外線サーモカメラ-蒸散量評価	用途	形質評価
乾燥ストレス耐性-早期判定マーカー	用途	早期判定
花粉発生源対策スギ品種-開発	目的	気候変動適応
