熱中症-増加	原因	気温-上昇
熱中症-増加	原因	熱ストレス-生理学的影響
熱中症-増加	影響	救急搬送人員-増加傾向
熱中症-増加	影響	医療機関受診者数-増加傾向
熱中症-増加	影響	熱中症死亡者数-増加傾向
気温-上昇	影響	超過死亡者数-増加傾向
気温-上昇	影響	熱中症死亡者数-増加傾向
気温-上昇	影響	高齢者-死亡率上昇
熱中症リスク-増加	予測影響	救急搬送者数-増加倍率（RCP2.6で約1.3～2.9倍）
熱中症リスク-増加	予測影響	救急搬送者数-増加倍率（RCP8.5で約3.2～13.5倍）
熱ストレス-超過死亡者数増加	予測影響	都道府県-2倍以上
熱中症-予防	対策法	脱水-抑制
熱中症-予防	対策法	体温上昇-抑制
熱中症-予防	対策法	脆弱性に応じた対策-実施
熱中症-予防	対策法	環境に応じた対策-実施
暑さ指数（WBGT）-確認	対策法	熱中症-予防
暑さ-回避	対策法	熱中症-予防
水分補給-実施	対策法	熱中症-予防
暑熱馴化-実施	対策法	熱中症-予防
体調配慮-行動	対策法	熱中症-予防
高齢者-自宅対策推進	対策法	熱中症-予防
家族-サポート	対策法	高齢者-熱中症予防
自治体等組織-サポート	対策法	高齢者-熱中症予防
保護者-観察	対策法	乳幼児-熱中症予防
休憩-促進	対策法	乳幼児-熱中症予防
水分補給-促進	対策法	乳幼児-熱中症予防
体調確認-実施	対策法	活動開始前-対応
体調に応じた対応-実施	対策法	熱中症-予防
教員-管理指導	対策法	学校スポーツ時-熱中症予防
休憩時間-設定	対策法	学校スポーツ時-熱中症予防
水分補給-実施	対策法	学校スポーツ時-熱中症予防
塩分補給-実施	対策法	学校スポーツ時-熱中症予防
体温-低下	対策法	学校スポーツ時-熱中症予防
水遊び-工夫	対策法	幼稚園・保育園-熱中症予防
室内対策-配慮	対策法	幼稚園・保育園-熱中症予防
作業場所-暑熱対策	対策法	高温多湿作業場所-熱中症予防
休憩場所-整備	対策法	高温多湿作業場所-熱中症予防
休憩時間-確保	対策法	職場-熱中症予防
熱への馴化-実施	対策法	職場-熱中症予防
監督者-巡視	対策法	職場-熱中症予防
人員配置-配慮	対策法	基礎疾患のある労働者-熱中症予防
気温-上昇	原因	気候変動
熱ストレス-生理学的影響	原因	気温-上昇
救急搬送人員-増加傾向	原因	熱中症-増加
医療機関受診者数-増加傾向	原因	熱中症-増加
熱中症死亡者数-増加傾向	原因	熱中症-増加
超過死亡者数-増加傾向	原因	気温-上昇
高齢者-死亡率上昇	原因	気温-上昇
救急搬送者数-増加倍率（RCP2.6で約1.3～2.9倍）	対象期間	2031～2050年
救急搬送者数-増加倍率（RCP8.5で約3.2～13.5倍）	対象期間	2031～2050年
都道府県-2倍以上	対象	熱ストレス-超過死亡者数
脱水-抑制	目的	熱中症-予防
体温上昇-抑制	目的	熱中症-予防
脆弱性に応じた対策-実施	有効性	熱中症-予防
環境に応じた対策-実施	有効性	熱中症-予防
熱中症-予防	対策法	予防法-知識
気候変動	影響	気温-上昇
2031～2050年	関連	熱中症リスク-予測
