大豆-収量低下	原因	気温上昇
大豆-品質低下	原因	気温上昇
病害虫-増加	原因	気温上昇
大豆-収量低下	原因	降水量変化
大豆-品質低下	原因	降水量変化
病害虫-増加	原因	降水量変化
大豆-百粒重減少	原因	夏季高温
大豆-さや数減少	原因	高温乾燥条件の継続
大豆-青立ち発生	原因	高温乾燥条件の継続
病害虫-分布域拡大	影響	気候変動
外来雑草-定着	影響	気候変動
北海道-大豆収量増加	予測影響	気温上昇
東日本-大豆収量低下	予測影響	子実肥大期間と高温時期の重なり
大豆-子実重増加	予測影響	CO2濃度上昇
大豆-収量低下	対策法	排水対策
大豆-収量低下	対策法	開花期前後-畦間灌水
大豆-収量不安定	対策法	診断ナビゲーション活用
大豆-収量低下	対策法	産地適応品種-導入
病害虫-被害	対策法	病害虫-適期防除
外来雑草-侵入	対策法	早期発見・早期対策
気温上昇	影響	害虫-多発化
気温上昇	影響	帰化アサガオ類-成長早期化
降水量変化	対策	排水
降水量変化	対策	灌水
降水量変化	対策	診断技術
夏季高温	発生	百粒重減少
高温乾燥条件の継続	発生	さや数減少
高温乾燥条件の継続	発生	青立ち発生
子実肥大期間と高温時期の重なり	影響	東日本-減収示唆
CO2濃度上昇	影響	光合成促進
病害虫-分布域拡大	例示	ダイズ黒根腐病
病害虫-分布域拡大	例示	ミナミアオカメムシ
害虫-多発化	影響	結莢不良
害虫-多発化	影響	被害粒増加
帰化アサガオ類-成長早期化	影響	防除可能期間短縮
光合成促進	影響	大豆-子実重増加
