地下鉄-浸水	原因	短時間強雨-増加
地下鉄-浸水	原因	台風-増加
地下鉄-浸水	原因	高潮-増大
地下鉄-浸水	原因	高波-増大
地下駅-浸水被害発生	原因	豪雨-記録的発生
地下駅-浸水被害発生	原因	台風-記録的発生
大都市部-大規模水害発生	原因	大河川-氾濫
地下鉄-浸水	影響	被害-発生
大都市部-大規模水害発生	影響	人的被害-甚大化
公共交通機関-運休	影響	経済社会的影響-発生
気候変動	予測影響	集中豪雨-増加
気候変動	予測影響	高潮-増大
気候変動	予測影響	高波-増大
地下鉄-浸水対策	対策法	浸水防止・遅延対策
避難時間-確保	対策法	浸水防止・遅延対策
対策-更なる強化	対策法	気候変動-外力増大への備え
短時間強雨-増加	影響	地下鉄-浸水
台風-増加	影響	地下鉄-浸水
高潮-増大	影響	地下鉄-浸水
高波-増大	影響	地下鉄-浸水
豪雨-記録的発生	影響	地下駅-浸水被害発生
台風-記録的発生	影響	地下駅-浸水被害発生
大河川-氾濫	影響	大都市部-大規模水害発生
被害-発生	原因	地下鉄-浸水
人的被害-甚大化	原因	大都市部-大規模水害発生
経済社会的影響-発生	原因	公共交通機関-運休
集中豪雨-増加	原因	気候変動
地下鉄-浸水対策	内容	止水
地下鉄-浸水対策	内容	避難時間-確保
気候変動-外力増大への備え	対象	集中豪雨-増加
気候変動-外力増大への備え	対象	高潮-増大
気候変動-外力増大への備え	対象	高波-増大
地下鉄-浸水	影響	被害-発生
地下駅-浸水被害発生	原因	豪雨-記録的発生
地下駅-浸水被害発生	原因	台風-記録的発生
大都市部-大規模水害発生	原因	大河川-氾濫
公共交通機関-運休	影響	経済社会的影響-発生
止水	手段	浸水防止・遅延対策
避難時間-確保	手段	浸水防止・遅延対策
