茶-収量減少	原因	気温上昇
茶-品質低下	原因	降水量変化
茶-品質低下	原因	気温上昇
茶-収量減少	原因	降水量変化
茶-生育抑制	原因	夏季-高温
茶-生育抑制	原因	夏季-少雨
茶-冬芽再萌芽	原因	暖冬
茶-一番茶萌芽遅延	原因	暖冬
関東地域-凍霜害発生リスク高時期の前倒し	原因	一番茶摘採期-早期化
南西諸島-一番茶減収顕在化	原因	秋冬季-低温遭遇時間不足
南西諸島-一番茶減収顕在化	予測影響	2060年代
害虫-被害増大	原因	害虫-越冬可能地域北上・拡大
害虫-被害増大	原因	害虫-年間世代数増加
病害-被害増大	原因	病害-分布域拡大・北上
病害-被害増大	原因	病害-発生期間拡大
茶-生育抑制	対策法	かん水
かん水	手段	スプリンクラー
茶園-土壌水分蒸発抑制	対策法	マルチ敷設
凍霜害	対策法	防霜ファン
防霜	機構	樹冠面-気温上昇
一番茶-減収	原因	秋冬期-低温期間短縮
一番茶-減収	原因	一番茶-正常生育不能
一番茶-正常生育不能	原因	秋冬期-低温期間短縮
茶-気候変動影響	対策法	高温適応性品種-植え替え
病害虫被害	対策法	複合病害虫抵抗性品種-選択
病害虫-発生予察	対策法	予察情報-改善
病害虫-防除	対策法	IPM活用
IPM	目的	化学農薬使用量-削減
化学農薬使用	要求	残留農薬基準値対応
気候変動	影響	発生予察-重要性増加
