ダニ類-分布域拡大	原因	気温上昇
ダニ類-分布域拡大	原因	降水-時空間分布変化
ダニ類-活動期間長期化	原因	気温上昇
ダニ類-活動期間長期化	原因	降水-時空間分布変化
ダニ媒介感染症-報告件数増加	影響	全国的報告件数増加
ダニ媒介感染症-発生地域拡大	影響	発生地域拡大
ダニ媒介感染症-気候変動影響受容	予測影響	気候変動影響の継続
ニホンジカ-生息適地拡大	予測影響	気温上昇
イノシシ-生息適地拡大	予測影響	気温上昇
ニホンジカ-生息適地拡大	予測影響	積雪量減少
イノシシ-生息適地拡大	予測影響	積雪量減少
ダニ媒介感染症	対策法	野生動物管理
ダニ媒介感染症	対策法	関係機関-連携
ダニ媒介感染症	対策法	殺ダニ剤-野外散布
ダニ媒介感染症	対策法	情報提供
ダニ媒介感染症	対策法	治療法-普及開発
ダニ媒介感染症	対策法	感染症サーベイランス
ダニ刺咬	対策法	衣服-防護
ダニ刺咬	対策法	忌避剤-使用
ダニ刺咬	対策法	衣服-ダニ除去
ダニ刺咬時-受診	対策法	医療機関-処置
身近な動物	対策法	注意
気温上昇	原因	気候変動
降水-時空間分布変化	原因	気候変動
全国的報告件数増加	対象	日本紅斑熱
全国的報告件数増加	対象	SFTS
全国的報告件数増加	対象	ツツガムシ病
発生地域拡大	対象	日本紅斑熱
発生地域拡大	対象	SFTS
発生地域拡大	対象	ツツガムシ病
気候変動影響の継続	影響先	ダニ類等による感染症
積雪量減少	原因	気候変動
野生動物管理	目的	マダニ-密度抑制
野生動物管理	目的	ヒト-マダニ接触リスク低減
殺ダニ剤-野外散布	効果	マダニリスク低減
情報提供	手段	診療の手引き-作成配布
情報提供	手段	普及啓発
治療法-普及開発	治療選択	テトラサイクリン系抗菌薬
感染症サーベイランス	目的	発生情報-正確把握分析
感染症サーベイランス	法的根拠	法律
忌避剤-使用	効果	ダニ付着数減少
医療機関-処置	内容	ダニ-抜去
医療機関-処置	内容	洗浄
マダニ-密度抑制	手段	野生動物-適正密度管理
ヒト-マダニ接触リスク低減	手段	マダニ-密度抑制
マダニリスク低減	手段	殺ダニ剤-野外散布
普及啓発	手段	ホームページ
普及啓発	手段	リーフレット
普及啓発	手段	動画配信
普及啓発	手段	シンポジウム開催
発生情報-正確把握分析	実施主体	感染症サーベイランス
ダニ付着数減少	原因	忌避剤-有効性
