小麦-収量低下可能性	原因	気温上昇
小麦-品質低下可能性	原因	気温上昇
小麦-収量低下可能性	原因	降水量変化
小麦-品質低下可能性	原因	降水量変化
小麦-減収	原因	登熟期間短縮
小麦-減収	原因	光合成期間短縮
小麦-品質低下	原因	登熟期間短縮
小麦-品質低下	原因	光合成期間短縮
小麦-品質低下	影響	小麦-細粒化
小麦-枯れ熟れ発生	原因	登熟期高温
小麦-凍霜害	原因	秋まき小麦-茎立ち早期化
秋まき小麦-茎立ち早期化	原因	暖冬
小麦-倒伏増加	原因	小麦-稈長増大
赤かび病-感染拡大	原因	開花期高温多湿
穂発芽-リスク減少	影響	プラス影響
後作-導入容易化	原因	小麦-早熟化
小麦-播種〜出穂期間短縮	予測影響	北海道・東北
小麦-登熟期間短縮	予測影響	北海道・東北
小麦-播種〜出穂期間短縮	予測影響	関東以西の秋播性の低い品種
小麦-出穂〜成熟日数非短縮	予測影響	関東以西の秋播性の低い品種
小麦-出穂〜成熟日数増加	予測影響	関東以西の秋播性の低い品種
気候変動影響への適応	対策法	地域・品種に応じた栽培技術の励行
気候変動影響への適応	対策法	関係機関情報の活用
気候変動影響への適応	対策法	新品種-開発
気候変動影響への適応	対策法	新品種-導入
湿害	影響	小麦-生育期間全般への被害
気温上昇	具体例	登熟期高温
降水量変化	具体例	分げつ始期多雨
登熟期高温	影響	小麦-枯れ熟れ発生
開花期高温多湿	影響	赤かび病-感染拡大
分げつ始期多雨	影響	小麦-穂数減少
