ホタテガイ-へい死危険性増大	原因	水温25℃以上の継続
水温上昇	原因	気候変動
ホタテガイ-大量へい死発生	原因	異常高水温
ホタテガイ-漁獲量減少	原因	ホタテガイ-大量へい死発生
ホタテガイ-養殖適地減少	予測影響	高水温
ホタテガイ養殖への影響	予測影響	海洋酸性化影響
社会・経済への影響増大	予測影響	ホタテガイ養殖依存度の高さ
ホタテガイ養殖の対応	対策法	養殖技術改善
ホタテガイ養殖の中長期的対策	対策法	新技術開発
ホタテガイ養殖の中長期的対策	対策法	高付加価値化検討
稚貝-ケガ低減	対策法	早期の稚貝採取
稚貝採取作業実施	対策法	水温26℃以上での稚貝採取停止
養殖筐-高水温影響低減	対策法	低水温下層での管理
高水温時のへい死増加抑制	対策法	へい死確認作業の中止
高水温時のへい死増加抑制	対策法	玉付け作業の中止
高水温時のへい死増加抑制	対策法	稚貝分散作業の中止
稚貝-分散開始	対策法	水温23℃以下での分散開始
稚貝-ケガ低減	対策法	早めの稚貝分散
浅い漁場-高水温被害軽減	対策法	早期出荷
親貝向け1年貝-高水温影響低減	対策法	養殖施設の下層沈下管理
高水温時の作業実施	対策法	玉付け作業の中止
高水温時の作業実施	対策法	掃除作業の中止
高水温時の作業実施	対策法	入れ替え作業の中止
掃除・入れ替え作業開始	対策法	水温20℃以下での成長確認後開始
ホタテガイ-死亡しやすさ増加	原因	ホタテガイ-ケガ
ホタテガイ-ケガ	原因	波浪や流れによる貝同士のぶつかり合い
ホタテガイ-ケガ	原因	養殖筐等の擦れ
ホタテガイ-ケガ	対策法	養殖施設の安定化
ホタテガイ-ケガ	対策法	養殖筐の安定化
ホタテガイ-へい死しにくさ向上	対策法	収容密度調整
漁業者-情報入手	対策法	天然採苗情報提供
漁業者-情報入手	対策法	養殖管理情報提供
水温-観測	対策法	水温観測ブイ設置
水温-予測	対策法	1ヶ月半先までの予測
漁業者-意思決定支援	対策法	リアルタイム水温提供
漁業者-意思決定支援	対策法	水温予測値提供
ホタテガイ-養殖適地減少	対策法	養殖区域の沖への拡充
ホタテガイ-養殖適地減少	対策法	親貝管理と種苗供給システム構築
高水温影響	対策法	高温耐性品種の作出
高水温影響	対策法	高温耐性品種の導入
高水温影響	対策法	代替の漁業への切り替え
高水温影響	対策法	代替の養殖業への切り替え
海洋酸性化影響	対策法	影響解明
海洋酸性化影響	対策法	対策技術の開発
海洋酸性化影響	対策法	対策技術の導入
収入-安定化	対策法	加工による高付加価値化検討
販路-拡大	対策法	地域や関係団体の連携
水温25℃以上の継続	定義	高水温
異常高水温	発生場所	陸奥湾
海洋酸性化影響	対象	ホタテガイ
養殖技術改善	対象方式	垂下式養殖
新技術開発	内容	高温耐性品種の作出
新技術開発	内容	海洋酸性化対策技術の開発
高付加価値化検討	手段	加工
早期の稚貝採取	目的	体力のある稚貝-作成
水温26℃以上での稚貝採取停止	条件	水温26℃以上
低水温下層での管理	対象	養殖筐
水温23℃以下での分散開始	条件	水温23℃以下
早期出荷	適用場所	浅い漁場
養殖施設の下層沈下管理	条件	水温20℃以上
養殖施設の安定化	目的	ホタテガイ-ケガ低減
養殖筐の安定化	目的	ホタテガイ-ケガ低減
収容密度調整	設定値	稚貝採取時-100枚以内
収容密度調整	設定値	稚貝分散時-10〜20枚
水温観測ブイ設置	設置場所	養殖漁場内
1ヶ月半先までの予測	対象	水温
リアルタイム水温提供	提供先	漁業者
水温予測値提供	提供先	漁業者
養殖区域の沖への拡充	目的	養殖不適地点増加への対応
親貝管理と種苗供給システム構築	目的	養殖不適地点増加への対応
高温耐性品種の導入	目的	養殖不適地点増加への対応
代替の養殖業への切り替え	目的	養殖不適地点増加への対応
影響解明	対象	ホタテガイ
対策技術の導入	対象	海洋酸性化影響
加工による高付加価値化検討	目的	収入-安定化
地域や関係団体の連携	目的	販路-拡大
高水温	発生要因	水温上昇
陸奥湾	事例	平成22年
垂下式養殖	説明	貝をロープまたはかごに入れて海中に吊るし2年間成長させて漁獲する方式
加工	効果	高付加価値化
養殖不適地点増加への対応	必要性	対策の実施
