ニホンナシ-生育変化	原因	気温上昇
ニホンナシ-品質変化	原因	気温上昇
ニホンナシ-生育変化	原因	降水の時空間分布の変化
ニホンナシ-品質変化	原因	降水の時空間分布の変化
ニホンナシ-発芽不良	原因	秋冬期の高温
ニホンナシ-耐凍性獲得遅れ	原因	秋冬期の高温
ニホンナシ-晩霜害	原因	開花期前進
ニホンナシ-果肉障害	原因	高温
ニホンナシ-日焼け果	原因	高温
ニホンナシ-日焼け果	原因	直射日光
低温積算量不足-地域出現	予測影響	21世紀末
ニホンナシ-出荷量減少	原因	ニホンナシ-晩霜害
ニホンナシ-出荷量減少	原因	ニホンナシ-発芽不良
ニホンナシ-晩霜害	対策法	晩霜害対策-送風法
ニホンナシ-晩霜害	対策法	晩霜害対策-燃焼法
ニホンナシ-晩霜害	対策法	晩霜害対策-散水法
ニホンナシ-晩霜害	対策法	人工授粉
ニホンナシ-発芽不良	対策法	施肥時期変更
ニホンナシ-日焼け果	対策法	適期灌水
ニホンナシ-果肉障害	対策法	適期灌水
ニホンナシ-日焼け果	対策法	果実袋かけ
ニホンナシ-果肉障害	対策法	果実袋かけ
ニホンナシ-発芽不良	対策法	剪定の工夫
ニホンナシ-栽培対応	対策法	生育予測情報の活用
傷害果-利用促進	対策法	加工品への活用
ニホンナシ-栽培困難	対策法	他品種への改植
温暖化対応品種-安定生産	対策法	新品種導入
気温上昇	影響	開花期前進
秋冬期の高温	影響	耐凍性低下
秋冬期の高温	影響	凍害発生
秋冬期の高温	影響	耐凍性獲得不足
直射日光	影響	果実の日焼け
高温	影響	果肉障害
高温	影響	日焼け果
開花期前進	影響	春の晩霜害被害
耐凍性低下	影響	凍害発生
耐凍性獲得不足	影響	凍害発生
