外来アリ-定着	原因	人間活動（グローバル経済・都市化・土地改変）
外来アリ-日本国内侵入	原因	国際的物流
外来アリ-定着	原因	人為的改変地（港湾・都市環境）への順応
外来アリ-日本国内侵入	原因	輸入コンテナへの同乗
外来アリ-国内定着	影響	外来アリ-分布拡大
侵略的外来アリ-侵入	予測影響	侵略的外来アリ-侵入恐れ増大
侵略的外来アリ-定着	予測影響	侵略的外来アリ-定着恐れ増大
外来生物対策	対策法	在来生態系-保全
外来生物対策	対策法	ライフスタイル-見直し
侵略的外来アリ-確認	対策法	徹底防除
侵略的外来アリ-侵入機会	対策法	生活様式-見直し
外来アリ-定着	対策法	生態系-維持保全
外来生物対策	対策法	普及啓発
侵略的外来アリ-日本国内侵入	対策法	輸出国（定着国）-協力
外来アリ-侵入早期発見	対策法	監視-継続
ヒアリ等-侵入	対策法	コンテナヤード-定期監視
外来アリ-日本国内侵入	対策法	定着しにくい環境-整備
ヒアリ類-発見	対策法	緊急処理（殺虫）
ヒアリ類-発見	対策法	行政機関-通報
外来アリ-侵入	対策法	生息確認調査
外来アリ-侵入	対策法	体系的防除
外来アリ-侵入	対策法	モニタリング
外来アリ-拡散	対策法	注意喚起・協力要請
外来アリ-定着	対策法	防除計画-策定実施
外来アリ-未侵入地域分布拡大	対策法	物資運搬時-外来アリ有無確認
外来アリ-未侵入地域分布拡大	対策法	発見個体-完全駆除
人間活動（グローバル経済・都市化・土地改変）	影響	外来アリ-定着促進
国際的物流	影響	外来アリ-日本越境輸送
人為的改変地（港湾・都市環境）への順応	影響	外来アリ-国内定着
輸入コンテナへの同乗	影響	外来アリ-侵入反復
外来アリ-分布拡大	影響	ヒアリ類-国内定着懸念
侵略的外来アリ-侵入恐れ増大	原因	国際的活動-継続
侵略的外来アリ-定着恐れ増大	原因	国際的活動-継続
在来生態系-保全	効果	外来種-侵入定着困難環境
在来生態系-保全	影響	気候変動影響-対応力向上
在来生態系-保全	影響	気候変動影響-回復力向上
ライフスタイル-見直し	影響	国際的物流-過度依存緩和
ライフスタイル-見直し	影響	侵略的外来アリ-侵入機会減少
生活様式（地域資源活用）	影響	温室効果ガス-排出削減
普及啓発	影響	市民-外来生物対策リテラシー向上
輸出国（定着国）-協力	影響	侵入防止
監視-継続	効果	外来アリ-侵入早期発見
定着しにくい環境-整備	影響	侵入防止
緊急処理（殺虫）	目的	侵入初期-対応
行政機関-通報	目的	緊急対応-開始
生息確認調査	前提	体系的防除
体系的防除	影響	外来アリ-生息排除
注意喚起・協力要請	影響	侵入地域-拡散防止
防除計画-策定実施	構成	モニタリング・評価
物資運搬時-外来アリ有無確認	影響	未侵入地域-分布拡大阻止
発見個体-完全駆除	影響	未侵入地域-分布拡大阻止
外来アリ-日本越境輸送	原因	国際的物流
外来アリ-侵入反復	原因	輸入コンテナへの同乗
ヒアリ類-国内定着懸念	原因	外来アリ-侵入反復
外来種-侵入定着困難環境	原因	在来生態系-保全
気候変動影響-対応力向上	原因	在来生態系-保全
気候変動影響-回復力向上	原因	在来生態系-保全
国際的物流-過度依存緩和	原因	ライフスタイル-見直し
侵略的外来アリ-侵入機会減少	原因	生活様式（地域資源活用）
温室効果ガス-排出削減	原因	生活様式（地域資源活用）
侵入防止	原因	輸出国（定着国）-協力
外来アリ-侵入早期発見	原因	監視-継続
侵入地域-拡散防止	原因	注意喚起・協力要請
未侵入地域-分布拡大阻止	原因	物資運搬時-外来アリ有無確認
未侵入地域-分布拡大阻止	原因	発見個体-完全駆除
