地下水位-変動	原因	日降水量-変化
地下水位-変動	原因	降水-時間推移変化
渇水-頻発	原因	無降雨日数-増加
地下水-過剰採取	原因	渇水-頻発
地盤沈下-進行	原因	地下水-過剰採取
地下水-塩水化	原因	海面水位-上昇
地盤沈下-沈静化	原因	地下水-過剰採取
地盤沈下-進行	原因	渇水時-地下水過剰採取
地下水位-変化	予測影響	降水条件-変化
地下水システム-影響予測不確実性増大	原因	気候変動
地下水涵養量-増減差	原因	地域差
淡水レンズ-縮小	予測影響	海面水位-上昇
淡水レンズ-縮小	予測影響	高潮浸水
淡水レンズ-縮小	予測影響	渇水-頻発化
淡水レンズ-縮小	予測影響	渇水-長期化
気候変動影響-監視継続	対策法	地下水保全と適正利用-取組継続
気候変動影響-監視継続	対策法	地下水位変化-監視継続
気候変動影響-監視継続	対策法	地下水塩水化-監視継続
地下水塩水化-防止	対策法	地下水位-低下抑制
地下水マネジメント-推進	対策法	地下水-持続的利用
地下水マネジメント-推進	対策法	地下水挙動-実態把握
地下水位-実態把握	対策法	観測井-観測継続
地下水-適正利用	対策法	基準井戸-設定
地下水-適正利用	対策法	基準水位-設定
地下水位-低下	対策法	基準水位-下回り監視
地下水-適正利用	対策法	適正揚水量-設定
地盤沈下-防止	対策法	採取規制-実施
地盤沈下-防止	対策法	条例遵守-継続
地下水位-監視測定	対策法	観測井-設置
地盤沈下-状況把握	対策法	水準測量-実施
地下水塩水化-進行抑制	対策法	塩化物イオン濃度-継続観測
地下水塩水化-進行抑制	対策法	水質観測頻度-増加
地下水塩水化-防止	対策法	河川流量-維持
地下水涵養量-確保	対策法	ダム放流-実施
地下水利用量-抑制	対策法	河川流量管理-実施
流域-健全水循環確保	対策法	森林-保全
地下水涵養機能-保全	対策法	水田-保全
地下水涵養機能-保全	対策法	池-保全
地下水涵養機能-保全	対策法	河川-保全
地下貯留-実施	対策法	人工涵養-浸透法
地下水涵養-実施	対策法	水田法
地下水涵養-実施	対策法	浸透池法
水田法	目的	地下水涵養-実施
水田法	実施場所	非かんがい期-水田
水田法	使用水源	農業用水
農業用水	必要条件	水利権許可
地下水塩水化-防止	条件	かんがい期-地下水涵養量と利用量の逆転
地下水位-低下	原因	地下水利用量-涵養量超過
塩水化-懸念	原因	地下水位-低下
地下水位-低下抑制	実現手段	地下水利用量-抑制
地下水位-低下抑制	実現手段	地下水涵養量-確保
地下水涵養量-確保	実現手段	河川流量-維持
