回遊性魚介類-分布域変化	原因	海洋-昇温
海洋-昇温	原因	気温-上昇
漁業-影響発生	原因	回遊性魚介類-分布域変化
加工業-影響発生	原因	回遊性魚介類-分布域変化
流通業-影響発生	原因	回遊性魚介類-分布域変化
暖水性魚種-増加	原因	海水温-上昇
冷水性魚種-減少	原因	海水温-上昇
地域-漁獲量変化	原因	海水温-上昇
地域-構成魚種変化	原因	海水温-上昇
漁業-影響発生	原因	地域-構成魚種変化
加工業-影響発生	原因	地域-構成魚種変化
流通業-影響発生	原因	地域-構成魚種変化
回遊性魚介類-分布域変化	予測影響	日本周辺海域-将来影響
回遊性魚介類-回遊範囲変化	予測影響	日本周辺海域-将来影響
回遊性魚介類-体サイズ縮小	予測影響	日本周辺海域-将来影響
マサバ-産卵場好適環境移動	予測影響	房総半島周辺-好適環境
マサバ-産卵場好適環境移動	原因	温暖化-影響顕著化
水産業-適応対応	対策法	水産業振興策-活用
水産業-適応対応	対策法	支援策-活用
水産業-適応対応	対策法	魚種変化対応-工夫改善
水産業-適応対応	対策法	情報ネットワーク-活用
水産業-適応対応	対策法	研究成果-活用
漁業-構造改革	必要性	リスク-分散
漁業-構造改革	必要性	リスク-順応
魚種変化対応-工夫改善	具体例	漁獲対象種-複数化
魚種変化対応-工夫改善	具体例	漁業経営-複合化
研究成果-活用	具体例	漁獲量-予測提示
情報ネットワーク-活用	推進背景	新漁業法-施行
支援策-活用	具体例	魚種転換プロジェクト-実施
漁獲対象種-複数化	実施内容	魚種-組合せ
漁獲対象種-複数化	実施内容	漁法-組合せ
漁業経営-複合化	実施内容	協業化
漁業経営-複合化	実施内容	共同経営化
漁業経営-複合化	実施内容	養殖-兼業
魚種転換プロジェクト-実施	目的	加工原料-転換
魚種転換プロジェクト-実施	支援内容	必要経費-一部支援
漁獲量-予測提示	根拠	資源評価
漁獲量-予測提示	提示主体	水産研究・教育機構
