治水施設整備水準超過-洪水発生	原因	極端降水-発生頻度増加
治水施設整備水準超過-洪水発生	原因	極端降水-強度増加
被害発生可能性-増大	原因	治水施設整備水準超過-洪水発生
氾濫危険水位超過-洪水発生地点数増加	影響	国管理河川
氾濫危険水位超過-洪水発生地点数増加	影響	都道府県管理河川
洪水起因-大雨事象増加	予測影響	今世紀末
洪水起因-大雨事象増加	予測影響	日本の代表的な河川流域
洪水単独災害-被害額最大	予測影響	31都道府県
高潮単独災害-被害額最大	予測影響	14都道府県
複合災害-被害額最大	予測影響	千葉県
流域治水-転換推進	原因	水災害-甚大被害
流域治水-転換推進	原因	施設能力超過-洪水発生前提
住民-防災対策強化	原因	行政-防災対策限界
防災情報-利活用	対策法	洪水
避難場所-確保	対策法	洪水
ダム-効果的運用	対策法	洪水
流域-保水遊水機能確保	対策法	洪水
河道-強靭化	対策法	洪水
輪中堤-整備	対策法	洪水
不動産取引時-情報提供	対策法	洪水
条例-規制	対策法	洪水
地域-移転	対策法	洪水
広域-連携	対策法	洪水
水害保険・金融商品-活用	対策法	洪水
生活再建マニュアル-活用	対策法	洪水
極端降水-発生頻度増加	原因	気候変動
極端降水-強度増加	原因	気候変動
国管理河川	増加傾向	氾濫危険水位超過-洪水発生地点数
都道府県管理河川	増加傾向	氾濫危険水位超過-洪水発生地点数
今世紀末	時点	将来
日本の代表的な河川流域	予測対象	洪水起因-大雨事象
31都道府県	最大被害災害	洪水単独災害
14都道府県	最大被害災害	高潮単独災害
千葉県	最大被害災害	複合災害
水災害-甚大被害	発生時期	近年
施設能力超過-洪水発生前提	原因	気候変動
行政-防災対策限界	原因	突発的発生-激甚災害
気候変動	影響	極端降水-発生頻度増加
気候変動	影響	極端降水-強度増加
氾濫危険水位超過-洪水発生地点数	対象	国管理河川・都道府県管理河川
将来	予測	洪水起因-大雨事象増加
洪水単独災害	影響	年平均期待被害額最大
高潮単独災害	影響	年平均期待被害額最大
複合災害	影響	年平均期待被害額最大
近年	発生	水災害-甚大被害
突発的発生-激甚災害	影響	行政-防災対策限界
