海藻-生産量減少	原因	海水温上昇
海藻-生産量減少	原因	養殖期間短縮
海藻-生産量減少	原因	生長不良
海藻-生産量減少	原因	食害
ノリ-収穫量減少	原因	秋季高水温
ノリ-種付け開始時期遅れ	原因	秋季高水温
ノリ-収穫量減少	原因	ノリ-芽落ち
ワカメ-種苗生産不調	原因	異常気象
ワカメ-育苗中芽落ち	原因	水温上昇
ワカメ-生長悪化	原因	水温上昇
ワカメ-品質悪化	原因	水温上昇
食害-深刻化	原因	藻食性魚類
養殖期間短縮	原因	高水温化
養殖期間短縮	原因	栄養塩不足
収穫量低下	予測影響	懸念
ノリ・ワカメ-食害増加	予測影響	低温致死水温未到達年増加
ノリ・ワカメ-食害増加	原因	低温致死水温未到達年増加
海藻養殖-継続振興	対策法	生産管理工夫
海藻養殖-継続振興	対策法	食害対策
海藻養殖-継続振興	対策法	適応的種苗生産技術導入
海藻養殖-継続振興	対策法	新品種開発導入
海藻養殖-継続振興	対策法	新対象種利用導入
藻食性魚類-食害防止	対策法	防除ネット設置
防除ネット	影響	重労働
藻食性魚類-食害防除	対策法	防除ネット改良
藻食性魚類-追い払い	対策法	威嚇
食害魚-捕獲駆除	対策法	刺網設置
食害魚-捕獲駆除	対策法	定置網回収
食害魚-有効活用	対策法	加工食品開発
ノリ-生産性向上	対策法	高速浸漬処理船導入
ワカメ-生産性向上	対策法	自動間引き装置開発
ワカメ-生産性向上	対策法	刈り取り装置開発
ワカメ-種苗生産安定化	対策法	フリー配偶体活用
漁業者-海況把握	対策法	リアルタイム情報発信
ノリ-高水温耐性品種開発	対策法	新品種開発
ワカメ-高水温耐性品種開発	対策法	フリー配偶体技術利用
暖海性海藻-養殖導入検討	対策法	養殖実験
海水温上昇	原因	気候変動
養殖期間短縮	内訳	養殖開始時期遅れ
養殖期間短縮	内訳	養殖終了時期早期化
食害	加害者	アイゴ
食害	加害者	クロダイ
生長不良	影響	海藻-生産量減少
防除ネット設置	目的	養殖ノリ-食害防止
防除ネット設置	目的	養殖ワカメ-食害防止
フリー配偶体活用	効果	気象条件非依存
リアルタイム情報発信	媒体	ポータルサイト
新品種開発	対象	高水温条件下生育可能品種
養殖実験	対象	ヒジキ
養殖実験	対象	トサカノリ
養殖開始時期遅れ	事例	ノリ養殖
養殖終了時期早期化	要素	養殖期間短縮
気象条件非依存	実現手段	フリー配偶体活用
ポータルサイト	提供内容	リアルタイム情報
高水温条件下生育可能品種	実用化事例	みえのあかり
高水温条件下生育可能品種	実用化事例	ちはの輝き
トサカノリ	課題	食害
トサカノリ	制約	瀬戸内海低水温
トサカノリ	対策法	カゴ養殖
