果樹-栽培適地変化	原因	気温上昇
寒地-果樹栽培適地拡大	原因	気温上昇
ワイン用ブドウ-栽培適域拡大	原因	気温上昇
寒地-果樹栽培適地拡大	予測影響	将来の寒地-果樹栽培適地更なる拡大
北海道の標高が低い地域-ワイン用ブドウ栽培適地拡大	予測影響	ワイン用ブドウ-栽培適地更なる拡大可能性
熱帯・亜熱帯果樹-適地拡大可能性	予測影響	熱帯・亜熱帯果樹-適地拡大
タンカン-栽培適地増加	予測影響	気温上昇
果樹-産地拡大	対策法	各地域に適した果樹導入
地域ブランド化推進	対策法	研究機関・行政・生産者・企業の一体的推進
温度管理	対策法	加温施設による低温対策
防風対策	対策法	青色ネット
地域ブランド化	対策法	技術指導等の支援
地域ブランド化	対策法	新たな加工品の開発
地域ブランド化	対策法	ブランド化のための発信
導入品目のスクリーニング	対策法	メッシュ農業気象データ活用
導入品目のスクリーニング	対策法	将来の栽培適地マップ研究成果の考慮
導入品目のスクリーニング	対策法	市場性の考慮
導入品目選定	対策法	複数種の試験栽培
導入品目選定	対策法	耐寒性評価
導入品目選定	対策法	生育状況評価
導入品目選定	対策法	果実品質評価
栽培適地選定	対策法	現地適応性試験
栽培適地選定	対策法	産地意向反映
栽培・利用技術開発	対策法	適応性が高い地域での開発推進
安定栽培の確立	対策法	栽培法確立
収穫物利用拡大	対策法	加工素材利用可能性検討
熱帯・亜熱帯果樹-露地栽培制約	原因	亜熱帯地域以外の日本の気候条件
熱帯・亜熱帯果樹-施設栽培必要	原因	亜熱帯地域以外での露地栽培可能種の限定
低温時の生育環境確保	対策法	加温
地域適応品種導入	原因	日本の栽培条件の特性
栽培技術の開発	対策法	研究開発の推進
技術指導等の支援	影響	栽培面積拡大
技術指導等の支援	影響	生産量拡大
技術指導等の支援	影響	品質化
新たな加工品の開発	影響	利用拡大
新たな加工品の開発	影響	官民一体の産地形成
ブランド化のための発信	影響	地域ブランド化推進
気温上昇	原因	温暖化の進展
気温上昇	影響	栽培に有利な温度帯北上
気温上昇	影響	タンカン-栽培適地増加
気温上昇	影響	ワイン用ブドウ-栽培適域拡大
気温上昇	影響	寒地-果樹栽培適地拡大
気温上昇	影響	果樹-栽培適地変化
栽培に有利な温度帯北上	影響	新たな地域-産地形成可能
新たな地域-産地形成可能	対策法	低コスト省力化園地整備推進
タンカン-栽培適地増加	原因	気温上昇
ワイン用ブドウ-栽培適域拡大	影響	北海道-栽培面積が全国有数
果樹-栽培適地変化	原因	果樹の気候適応性の低さ
