害虫-分布域変化	原因	気温-上昇
害虫-年間世代数変化	原因	気温-上昇
害虫-発生量変化	原因	気温-上昇
害虫-発生盛日変化	原因	気温-上昇
海外飛来害虫-種類変化	原因	気温-上昇
海外飛来害虫-数変化	原因	気温-上昇
病害-発生地域変化	原因	気温-上昇
病害-発生量変化	原因	気温-上昇
害虫-分布北上	原因	気温-上昇
害虫-分布拡大	原因	気温-上昇
害虫-発生量増加	原因	気温-上昇
害虫-越冬可能性増加	原因	気温-上昇
病害-発生地域北上	原因	温暖化
害虫-越冬可能地域北上	予測影響	越冬可能地域-北上
害虫-生息適地北上	予測影響	生息適地-北上
害虫-越冬可能地域拡大	予測影響	越冬可能地域-拡大
害虫-生息適地拡大	予測影響	生息適地-拡大
病害虫-被害増大	原因	害虫-発生世代数増加
イネ-紋枯病-発生リスク増加	予測影響	病害-発生リスク増加
病害虫リスク-管理	対策法	予防的措置-実施
病害虫リスク-管理	対策法	発生予察情報-把握
病害虫リスク-管理	対策法	防除手段-選択
病害虫侵入-リスク増大	原因	諸外国-病害虫発生地域拡大
諸外国-病害虫発生地域拡大	原因	気候変動
病害虫侵入-リスク増大	原因	人・モノ移動-増加
病害虫侵入-リスク増大	対策法	輸入検疫-強化
抵抗性品種-普及	対策法	抵抗性品種-開発
病害虫-発生抑制	対策法	生産条件-整備
病害虫-発生予測	対策法	発生予察事業-実施
病害虫-発生抑制	対策法	総合的病害虫・雑草管理（IPM）-導入
輸入検疫-強化	強化策	植物以外物品-侵入検査強化
輸入検疫-強化	強化策	携帯品検査-実効性向上
輸入検疫-強化	強化策	海外侵入リスク情報-収集強化
人・モノ移動-増加	原因	近隣諸国-往来増加
総合的病害虫・雑草管理（IPM）-導入	構成要素	農薬-利用
総合的病害虫・雑草管理（IPM）-導入	構成要素	天敵-利用
総合的病害虫・雑草管理（IPM）-導入	構成要素	粘着板-利用
天敵-利用	普及状況	施設栽培-普及
天敵-利用	普及状況	露地-普及
農薬-利用	目的	病害虫-発生抑制
粘着板-利用	用途	物理的防除-実施
