竹林-生息適地変化	原因	気候変動-気温上昇
竹林-拡大	原因	気温上昇
竹林-放置進行	原因	輸入タケノコ-増加
放置竹林-出現	原因	社会的要因
竹林-拡大	影響	周囲森林-侵入拡大
モウソウチク・マダケ-生育適地拡大	予測影響	東日本-生育適地割合増加
モウソウチク・マダケ-分布北限北上	予測影響	気温上昇-3℃
竹林-生育適地拡大	予測影響	北日本-生育適地拡大
竹林-拡大	対策法	未植栽地-予防管理
竹林-拡大	対策法	竹林-駆除
竹林-拡大	対策法	竹林-利用
竹林-植栽	対策法	竹林管理-実施可能時のみ植栽
管理不能竹林-対応	対策法	竹林-全駆除
管理不能竹林-対応	対策法	土地利用-転換
竹林-駆除	対策法	伐採駆除-人力
竹林-駆除	対策法	伐採駆除-重機
竹林-駆除	対策法	薬剤駆除-注入
竹林-駆除	対策法	薬剤駆除-土壌散布
竹林-利用	対策法	利用促進
気候変動-気温上昇	影響	竹林-生息適地変化
気温上昇	影響	モウソウチク・マダケ-拡大
輸入タケノコ-増加	影響	竹林-放置進行
社会的要因	影響	放置竹林-出現
周囲森林-侵入拡大	原因	放置竹林-出現
未植栽地-予防管理	目的	竹林-定着防止
竹林-駆除	実施対象	植栽後拡大地域
竹林-利用	実施対象	植栽後拡大地域
竹林管理-実施可能時のみ植栽	適用条件	竹林管理-実施可能
竹林-全駆除	実施条件	管理不能
土地利用-転換	実施条件	管理不能
伐採駆除-人力	要件	地上部刈り払い-年2回7年間継続
伐採駆除-人力	必要性	再生竹-発生
伐採駆除-人力	使用道具	併用チェーンソー
伐採駆除-重機	手段	竹伐採専用アタッチメント
伐採駆除-重機	影響	表土-剥ぎ取り
薬剤駆除-注入	使用薬剤	グリホサート系除草剤
薬剤駆除-注入	使用薬剤	塩素酸系除草剤
薬剤駆除-土壌散布	使用薬剤	塩素酸系除草剤
利用促進	利用形態	パルプ-利用
利用促進	利用形態	バイオマス燃料-利用
利用促進	利用形態	セルロースナノファイバー-製造
竹林-生息適地変化	影響	竹林-拡大
モウソウチク・マダケ-拡大	影響	分布上限・北限付近-拡大報告
竹林-放置進行	影響	放置竹林-出現
放置竹林-出現	影響	周囲森林-侵入拡大
地上部刈り払い-年2回7年間継続	目的	地下茎-駆除
再生竹-発生	原因	地下部-生存
表土-剥ぎ取り	影響	土地利用-考慮必要
併用チェーンソー	効果	作業効率-向上
竹伐採専用アタッチメント	実施可能作業	切断・引き出し・小割・集積
塩素酸系除草剤	散布方法	土壌-散布
パルプ-利用	影響	需要量-増加
セルロースナノファイバー-製造	影響	実用化-進展
