生態系-全体変化	原因	環境条件-変化
生態系-全体変化	原因	気候変動
気候変動-生態系影響予測	予測影響	不確実性-高水準
気候変動-生態系サービス影響	予測影響	不確実性-存在
気候変動-生態系サービス影響	原因	知見-不足
気候変動影響評価	対策法	不確実性-考慮
適応策-検討	対策法	不確実性-考慮
生態系-広範抑制	原因	生態系-全体変化
生態系-保全回復	対策法	生態系-ストレス低減
生態系-保全回復	対策法	生態系ネットワーク-構築
生態系-変化把握	対策法	モニタリング-実施
不確実性-高水準	原因	様々な条件-存在
不確実性-存在	原因	知見-不足
不確実性-考慮	適用場面	適応策-検討
不確実性-考慮	適用場面	気候変動影響評価
生態系-全体変化	帰結	生態系-広範抑制不可能
生態系-ストレス低減	手段	生態系-保全回復
生態系ネットワーク-構築	手段	生態系-保全回復
モニタリング-実施	目的	生態系-変化把握
様々な条件-存在	構成要素	地域
様々な条件-存在	構成要素	生態系
様々な条件-存在	構成要素	種
様々な条件-存在	構成要素	遺伝的形質
知見-不足	帰結	不確実性-存在
適応策-検討	必要条件	不確実性-考慮
気候変動影響評価	必要条件	不確実性-考慮
