藻場-藻類種構成変化	原因	海水温上昇
藻場-藻類現存量変化	原因	海水温上昇
藻場-藻場面積変化	原因	海水温上昇
藻類-減少	原因	植食性動物-摂食活動活発化
植食性動物-摂食活動活発化	原因	水温上昇
藻場-減少	原因	水温上昇
藻場-構成種変化	原因	水温上昇
藻場面積-減少	原因	藻場-減少
カジメ-生育困難	予測影響	RCP8.5シナリオ
植食性魚類-食害影響顕在化	予測影響	RCP2.6シナリオ
藻場-適応策実施	対策法	南西海域の知見共有
藻場-対策推進	対策法	目標藻場状態設定
ウニ-除去	対策法	ハンマーで潰す
ウニ-除去	対策法	手タモ回収
ウニ-除去	対策法	網袋回収
ウニ-侵入防止	対策法	ウニフェンス
魚類-除去	対策法	刺網漁獲
魚類-侵入防止	対策法	網篭
魚類-侵入防止	対策法	被覆ネット
海藻-タネ供給	対策法	母藻利用
海藻-タネ供給	対策法	種苗利用
母藻-採取設置	対策法	自然放出による種放出
母藻-採取設置	対策法	自然着生
母藻-採取	対策法	管内藻場からの入手
母藻-採取	対策法	管外からの入手
母藻-採取	対策法	流れ藻利用
母藻-設置	対策法	局所散布
母藻-設置	対策法	広範囲散布
種苗-移植	対策法	人工種苗
藻体-移植	対策法	天然藻体
種苗-採苗	対策法	天然採苗
藻場-目標変更	対策法	南方系ホンダワラ類活用
藻場-目標変更	対策法	小型海藻藻場活用
藻場-対策推進	対策法	順応的管理
海水温上昇	影響	藻場-藻類種構成変化
海水温上昇	影響	藻場-藻類現存量変化
海水温上昇	影響	藻場-藻場面積変化
植食性動物-摂食活動活発化	影響	藻類-減少
水温上昇	影響	植食性動物-摂食活動活発化
水温上昇	影響	藻場-減少
水温上昇	影響	藻場-構成種変化
藻場-減少	影響	藻場面積-減少
RCP8.5シナリオ	予測影響	カジメ-生育困難
RCP2.6シナリオ	予測影響	植食性魚類-食害影響顕在化
南西海域の知見共有	目的	海水温上昇への長期的適応策
目標藻場状態設定	基準	藻場形成阻害要因
ウニフェンス	種類	棒状タイプ
ウニフェンス	種類	立網タイプ
局所散布	特徴	高密度
局所散布	対象層	海底
広範囲散布	特徴	低密度
広範囲散布	対象層	表層
天然採苗	方法	自然放卵による採苗
小型海藻藻場活用	対象	アミジグサ類
順応的管理	構成	モニタリング
