生物季節-変化	原因	気候変動-気温上昇
生物季節-変化	原因	気候変動-降水量変化
生物季節-変化	原因	気候変動-積雪変化
フェノロジカルミスマッチ	原因	生物季節-変化
種分布-変化	原因	生物季節-変化
高山湿生植物群落-衰退	原因	環境変化
高山植生-生育場所縮小	原因	ハイマツ-分布拡大
高山植生-生育場所縮小	原因	チシマザサ-分布拡大
高山植生-衰退	原因	ニホンジカ-食害
動植物-分布適域変化	予測影響	高山帯
動植物-分布適域縮小	予測影響	高山帯
フェノロジカルミスマッチ-リスク増大	予測影響	高山帯
退避地-保全	対策法	保全対象種-存続可能環境の確保
気候変動以外の影響要因-対応	対策法	登山者-過剰利用
気候変動以外の影響要因-対応	対策法	ニホンジカ-食害
気候変動以外の影響要因-対応	対策法	ササ-侵入
適応策-実施前後モニタリング	対策法	順応的管理-手法適用
種子・DNA-保存	対策法	生息域外保全
個体-栽培	対策法	生息域外保全
踏みつけ	発生場所	観光客-多い場所
盗掘	発生場所	観光客-多い場所
外来植物-非意図的持ち込み	発生場所	観光客-多い場所
植生改変	原因	ニホンジカ-採食
植生-更新阻害	原因	植生改変
土壌構造-変化	原因	植生改変
他の生物群-波及	原因	植生改変
ササ-拡大	原因	雪解け-早期化
ササ-拡大	原因	少雪化
高山植生-種多様性減少	原因	ササ-密生集団形成
退避地-把握	手段	分布予測
退避地-把握	手段	現地調査
全ての対策-基礎	原因	地域ごとの現状-把握
全ての対策-基礎	原因	分布変化-把握
不可逆的影響-発生考慮	原因	影響-懸念
早期段階-対策実施	根拠	予防原則
順応的管理	要件	モニタリング結果-評価
順応的管理	要件	管理計画-反映
個体群-維持導入	要件	遺伝的多様性-検討
防護柵-設置	対策法	ニホンジカ等-高山植物食害
捕獲	対策法	ニホンジカ等-高山植物食害
防護柵	機能	植生回復時-種子供給源
ライチョウ-捕食回避	対策法	ケージ保護
高山植物-種数増加	原因	チシマザサ-地上部刈り取り
植被率-向上	原因	チシマザサ-地上部刈り取り
人為的影響-回避	対策法	退避地-保全
自動撮影カメラ-観測継続	実施場所	全国29か所-山岳域
高山植物-栽培成功	実施場所	標高が高い地域-植物園
踏みつけ	原因	観光客-集中
盗掘	原因	観光客-集中
外来植物-非意図的持ち込み	原因	観光客-集中
植生-更新阻害	原因	ニホンジカ-採食
土壌構造-変化	原因	ニホンジカ-採食
他の生物群-波及	原因	ニホンジカ-採食
高山植生-種多様性減少	原因	ササ-拡大
退避地（レフュージア）-把握	前提	山地稜線部-積雪環境
不可逆的影響-発生考慮	条件	影響-懸念
