ex:内水面漁業 ns1:変化例 ex:内水面漁業の変化 
ex:内水面漁業の変化 ns1:原因 ex:水温の上昇 
ex:内水面漁業の変化 ns1:原因 ex:降水量変化 
ex:内水面漁業の変化 ns1:影響 ex:生息環境の悪化 
ex:内水面漁業の変化 ns1:影響 ex:鮎の漁獲量減少 
ex:内水面漁業の変化 ns1:影響 ex:ワカサギの斃死 
ex:内水面漁業の変化 ns1:影響予測 ex:渓流魚の生息域の縮小 
ex:内水面漁業の変化 ns1:影響予測 ex:ワカサギの漁獲量減少 
ex:内水面漁業の変化 ns1:影響予測 ex:鮎の遡上時期の早まり 
ex:内水面漁業の変化 ns1:影響予測 ex:鮎の遡上数の減少 
ex:内水面漁業の変化 ns1:適応策 ex:生活環境の保全 
ex:内水面漁業の変化 ns1:適応策 ex:放流方法の改善 
ex:内水面漁業の変化 ns1:適応策 ex:漁獲規制の強化 
ex:内水面漁業の変化 ns1:適応策 ex:内水面漁業-新技術の開発 
ex:内水面漁業の変化 ns1:適応策 ex:有用集団の作出 
ex:内水面漁業の変化 ns1:適応策 ex:生活環境の改善 
ex:生息環境の悪化 ns1:原因 ex:高水温 
ex:生息環境の悪化 ns1:影響例 ex:内水面漁業の変化 
ex:鮎の漁獲量減少 ns1:原因 ex:高水温 
ex:ワカサギの斃死 ns1:原因 ex:高水温 
ex:渓流魚の生息域の縮小 ns1:対象場所 ex:生息域 
ex:渓流魚の生息域の縮小 ns1:原因 ex:高水温 
ex:ワカサギの漁獲量減少 ns1:原因 ex:高水温 
ex:鮎の遡上数の減少 ns1:対象行為 ex:遡上 
ex:鮎の遡上数の減少 ns1:原因 ex:高水温 
ex:鮎の遡上時期の早まり ns1:対象行為 ex:遡上 
ex:鮎の遡上時期の早まり ns1:変化対象 ex:時期 
ex:鮎の遡上時期の早まり ns1:原因 ex:高水温 
ex:生活環境の保全 ns1:保全・改善案 ex:水量の維持 
ex:生活環境の保全 ns1:保全・改善案 ex:河畔林の保全 
ex:生活環境の保全 ns1:保全・改善案 ex:人工産卵場所の造成 
ex:生活環境の保全 ns1:保全・改善案 ex:魚類の隠れ家の保守 
ex:生活環境の改善 ns1:保全・改善案 ex:水量の維持 
ex:生活環境の改善 ns1:保全・改善案 ex:河畔林の保全 
ex:生活環境の改善 ns1:保全・改善案 ex:人工産卵場所の造成 
ex:生活環境の改善 ns1:保全・改善案 ex:魚類の隠れ家の保守 
ex:人工産卵場所の造成 ns1:対象域 ex:場所 
ex:魚類の隠れ家の保守 ns1:対象場所 ex:隠れ家 
ex:鮎-放流方法の改善 ns1:改善案 ex:早期の放流 
ex:渓流魚-放流方法の改善 ns1:改善案 ex:半天然稚魚の放流 
ex:渓流魚-放流方法の改善 ns1:改善案 ex:半野生稚魚の放流 
ex:渓流魚-漁獲規制の強化 ns1:改善案 ex:半天然稚魚の放流 
ex:渓流魚-漁獲規制の強化 ns1:改善案 ex:半野生稚魚の放流 
ex:半天然稚魚 ns1:雄 ex:天然魚 
ex:半天然稚魚 ns1:雌 ex:養殖魚 
ex:半野生稚魚 ns1:雄 ex:天然魚 
ex:半野生稚魚 ns1:雄 ex:野生魚 
ex:半野生稚魚 ns1:雌 ex:天然魚 
ex:半野生稚魚 ns1:雌 ex:野生魚 
ex:河川-早期 ns1:対象状態 ex:水温 
ex:内水面漁業-新技術の開発 ns1:一部 ex:ワカサギ-種苗生産技術の開発 
ex:内水面漁業-新技術の開発 ns1:一部 ex:病原体防除技術 
ex:有用集団の作出 ns1:一部 ex:高水温耐性魚の開発 
