(1) 主題トピック設定と文書整理  
### 主題トピック  
回遊性魚介類の分布域北上に伴う水産業の適応（気候変動の影響と適応策）

### 原因  
- 気温上昇による海洋の昇温（海水温の上昇）が進み、回遊性魚介類の分布域が変化（北上）する。  
- 分布域変化に伴い、漁業・加工・流通へ波及する変化が生じる。

### 影響  
- 日本周辺海域で海水温上昇により、暖水性魚種（ブリ・サワラ等）の増加がみられる。  
- 冷水性魚種（サンマ・スルメイカ等）の減少がみられる。  
- 地域の漁獲量・漁獲物の種類構成が変化し、漁業だけでなく加工業・流通業にも影響が出る地域がある。

### 影響予測  
- 将来、日本周辺海域で回遊性魚介類の分布域・回遊範囲の変化、および体サイズの縮小が予測される。  
- 研究例として、マサバの産卵場について、2090年代（RCP8.5）に産卵場に適した環境が現在の伊豆周辺から房総半島周辺へ移動する予測が示される。

### 対策法  
- 既存の水産業振興策・支援策を活用しつつ、現場（漁業・加工・流通・販売等）で魚種変化に合わせた工夫・改善を進める。  
- 新たな情報ネットワークや研究成果の活用により、効果的対応につなげる。  
- 具体例  
  - 漁業経営：漁獲対象種の複数化、漁業経営の複合化（例：サンマ棒受網船によるマイワシ漁、船びき網／貝けた網／黒ノリ養殖などの組合せ）  
  - 加工・流通・販売：魚種の変化への対応（加工設備整備、新商品開発）、販売の工夫（直接販売など）  
  - 地域活動・地域づくり：地域との連携（学校給食での提供、観光資源としての活用）  
  - 水産資源管理・研究成果反映：資源評価対象魚種の拡大（約200種程度）、資源・漁獲情報ネットワーク体制の構築、研究成果の反映（将来予測の提示等）

---

## (2) 述語（原因・影響・影響予測・対策法）を用いたSPO（可能な限り）
※形式：S　P　O（「SのPはOである」）

回遊性魚介類の分布域変化　原因　海水温上昇  
海水温上昇　原因　気温上昇  
漁業　影響　回遊性魚介類の分布域変化  
加工業　影響　回遊性魚介類の分布域変化  
流通業　影響　回遊性魚介類の分布域変化  
日本周辺海域-暖水性魚種増加　影響　海水温上昇  
日本周辺海域-冷水性魚種減少　影響　海水温上昇  
地域-漁獲量変化　影響　海水温上昇  
地域-漁獲種類構成変化　影響　海水温上昇  
回遊性魚介類の分布域変化　影響予測　分布域変化  
回遊性魚介類の分布域変化　影響予測　回遊範囲変化  
回遊性魚介類　影響予測　体サイズ縮小  
マサバ-産卵場移動　影響予測　温暖化の影響  
水産業の適応　対策法　漁獲対象種の複数化  
水産業の適応　対策法　漁業経営の複合化  
水産業の適応　対策法　魚種の変化への対応  
水産業の適応　対策法　販売の工夫  
水産業の適応　対策法　地域との連携  
水産業の適応　対策法　水産資源管理の拡充  
水産業の適応　対策法　研究成果の反映  
魚種の変化への対応　対策法　加工設備の整備  
魚種の変化への対応　対策法　新商品の開発  

---

## (3) (2)の目的語を主語にしてSPOを構築（述語指定なし：名詞化）
海水温上昇　上昇要因　気温上昇  
海水温上昇　発生場所　海洋  
海水温上昇　関連変化　回遊性魚介類の分布域変化  

回遊性魚介類の分布域変化　随伴影響　漁業への影響  
回遊性魚介類の分布域変化　随伴影響　加工業への影響  
回遊性魚介類の分布域変化　随伴影響　流通業への影響  

分布域変化　対象　回遊性魚介類  
回遊範囲変化　対象　回遊性魚介類  

体サイズ縮小　対象　回遊性魚介類  

マサバ-産卵場移動　シナリオ　RCP8.5  
マサバ-産卵場移動　時期　2090年代  
マサバ-産卵場移動　移動元　伊豆周辺  
マサバ-産卵場移動　移動先　房総半島周辺  

漁獲対象種の複数化　実施領域　漁業経営  
漁業経営の複合化　実施領域　漁業経営  
魚種の変化への対応　実施領域　加工・流通・販売  
販売の工夫　実施領域　加工・流通・販売  
地域との連携　実施領域　地域活動・地域づくり  
水産資源管理の拡充　実施領域　水産資源管理  
研究成果の反映　実施領域　水産資源管理の拡充・研究成果の反映  

加工設備の整備　目的　魚種の変化への対応  
新商品の開発　目的　魚種の変化への対応  

---

## (4) (3)の目的語を主語にしてSPOを構築（述語指定なし：名詞化）
気温上昇　結果　海洋の昇温  
海洋　状態変化　昇温  

漁業への影響　影響要素　漁獲量変化  
漁業への影響　影響要素　漁獲種類構成変化  
加工業への影響　影響要素　魚種変化への対応需要  
流通業への影響　影響要素　魚種変化への対応需要  

回遊性魚介類　分布特性　適水温域における分布  
回遊性魚介類　行動特性　回遊  

RCP8.5　種別　気候変動シナリオ  
2090年代　種別　時期  

伊豆周辺　位置　日本周辺海域  
房総半島周辺　位置　日本周辺海域  

漁業経営　対応方向　資源変動への対応  
加工・流通・販売　対応方向　魚種変化への対応  
地域活動・地域づくり　取組内容　学校給食での提供  
地域活動・地域づくり　取組内容　観光資源としての活用  

水産資源管理　取組内容　資源評価対象魚種の拡大  
資源評価対象魚種の拡大　規模　200種程度  
水産資源管理　取組内容　資源・漁獲情報ネットワーク体制の構築  
研究成果の反映　取組内容　将来予測の提示  

魚種変化への対応需要　対応手段　加工設備の整備  
魚種変化への対応需要　対応手段　新商品の開発  

---  

必要なら、SPOを「重複統合（同義語寄せ）」「用語ゆれ統一（例：水温上昇/海水温上昇）」した版も作れます。
